ym,n_obs,mean_ships_port,mean_anchorage,max_ships_port,mean_coverage,year,month,mean_ships_port_adj
2025-01,1,1.0,74.0,1.0,0.993,2025,1,1.0
2025-02,1,3.0,94.0,3.0,0.993,2025,2,3.0
2025-03,1,2.0,80.0,2.0,0.993,2025,3,2.0
2025-04,1,2.0,69.0,2.0,0.993,2025,4,2.0
2025-05,1,2.0,66.0,2.0,0.993,2025,5,2.0
2025-06,1,2.0,60.0,2.0,0.993,2025,6,2.0
2025-07,1,2.0,69.0,2.0,0.993,2025,7,2.0
2025-08,1,2.0,74.0,2.0,0.993,2025,8,2.0
2025-09,1,3.0,76.0,3.0,0.993,2025,9,3.0
2025-10,1,2.0,59.0,2.0,0.993,2025,10,2.0
2025-11,1,4.0,68.0,4.0,0.993,2025,11,4.0
2025-12,2,1.5,87.5,2.0,0.993,2025,12,1.5
2026-01,1,3.0,77.0,3.0,0.993,2026,1,3.0
2026-02,1,5.0,77.0,5.0,0.993,2026,2,5.0
2026-03,1,4.0,81.0,4.0,0.993,2026,3,4.0
2026-04,1,2.0,77.0,2.0,0.993,2026,4,2.0
2026-05,1,2.0,96.0,2.0,0.993,2026,5,2.0
2026-06,1,0.0,83.0,0.0,0.993,2026,6,0.0
2026-07,1,2.0,82.0,2.0,0.993,2026,7,2.0
2026-08,1,3.0,91.0,3.0,0.993,2026,8,3.0
