ym,year,month,n_obs,n_obs_good,n_obs_port,mean_ships_port,mean_ships_port_adj,mean_ships_total,mean_components,median_ships_port,max_ships_port,min_ships_port,mean_anchorage,mean_coverage,mean_roughness,mean_noise_floor,scenes_ids,data_status
2022-01,2022,1,6,6,6,14.33,14.33,24.67,10.5,14.0,18,11,10.33,0.836,0.318,-16.8,"['S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc', 'S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc', 'S1A_IW_GRDH_1SDV_20220121T153354_20220121T153419_041561_04F166_rtc', 'S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc', 'S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc', 'S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc']",ok
2022-02,2022,2,5,5,5,12.6,12.6,23.0,8.6,11.0,16,11,10.0,0.793,0.297,-16.43,"['S1A_IW_GRDH_1SDV_20220207T154140_20220207T154205_041809_04F9F3_rtc', 'S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc', 'S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc', 'S1A_IW_GRDH_1SDV_20220226T153353_20220226T153418_042086_050385_rtc', 'S1A_IW_GRDH_1SDV_20220214T153353_20220214T153418_041911_04FD80_rtc']",ok
2022-03,2022,3,6,6,6,22.83,22.83,35.5,14.33,18.5,38,12,12.67,0.837,0.365,-15.25,"['S1A_IW_GRDH_1SDV_20220303T154139_20220303T154204_042159_050601_rtc', 'S1A_IW_GRDH_1SDV_20220310T153353_20220310T153418_042261_050971_rtc', 'S1A_IW_GRDH_1SDV_20220315T154140_20220315T154205_042334_050BF4_rtc', 'S1A_IW_GRDH_1SDV_20220327T154140_20220327T154205_042509_0511E6_rtc', 'S1A_IW_GRDH_1SDV_20220322T153353_20220322T153418_042436_050F68_rtc', 'S1A_IW_GRDH_1SDV_20220304T034314_20220304T034339_042166_050642_rtc']",ok
2022-04,2022,4,5,5,5,12.2,12.2,22.0,9.6,12.0,17,8,9.8,0.792,0.318,-18.77,"['S1A_IW_GRDH_1SDV_20220403T153353_20220403T153418_042611_051558_rtc', 'S1A_IW_GRDH_1SDV_20220408T154140_20220408T154205_042684_0517CC_rtc', 'S1A_IW_GRDH_1SDV_20220420T154141_20220420T154206_042859_051DA9_rtc', 'S1A_IW_GRDH_1SDV_20220415T153354_20220415T153419_042786_051B3E_rtc', 'S1A_IW_GRDH_1SDV_20220427T153354_20220427T153419_042961_0520FC_rtc']",ok
2022-05,2022,5,6,6,6,10.33,10.33,15.33,7.0,10.0,14,6,5.0,0.838,0.307,-18.92,"['S1A_IW_GRDH_1SDV_20220502T154141_20220502T154206_043034_05236C_rtc', 'S1A_IW_GRDH_1SDV_20220514T154142_20220514T154207_043209_052912_rtc', 'S1A_IW_GRDH_1SDV_20220509T153355_20220509T153420_043136_0526D2_rtc', 'S1A_IW_GRDH_1SDV_20220521T153356_20220521T153421_043311_052C0C_rtc', 'S1A_IW_GRDH_1SDV_20220503T034308_20220503T034333_043041_0523B0_rtc', 'S1A_IW_GRDH_1SDV_20220510T033513_20220510T033538_043143_052712_rtc']",ok
2022-06,2022,6,5,5,5,9.4,9.4,14.4,5.8,9.0,11,7,5.0,0.792,0.28,-17.42,"['S1A_IW_GRDH_1SDV_20220602T153357_20220602T153422_043486_053133_rtc', 'S1A_IW_GRDH_1SDV_20220607T154144_20220607T154209_043559_053374_rtc', 'S1A_IW_GRDH_1SDV_20220614T153357_20220614T153422_043661_05366C_rtc', 'S1A_IW_GRDH_1SDV_20220619T154145_20220619T154210_043734_0538A7_rtc', 'S1A_IW_GRDH_1SDV_20220626T153358_20220626T153423_043836_053BAE_rtc']",ok
2022-07,2022,7,7,7,7,12.71,12.71,18.86,7.86,12.0,17,11,6.14,0.869,0.292,-18.85,"['S1A_IW_GRDH_1SDV_20220701T154145_20220701T154210_043909_053DE2_rtc', 'S1A_IW_GRDH_1SDV_20220713T154146_20220713T154211_044084_05431A_rtc', 'S1A_IW_GRDH_1SDV_20220725T154147_20220725T154212_044259_05484F_rtc', 'S1A_IW_GRDH_1SDV_20220720T153400_20220720T153425_044186_054621_rtc', 'S1A_IW_GRDH_1SDV_20220714T034313_20220714T034338_044091_054350_rtc', 'S1A_IW_GRDH_1SDV_20220702T034312_20220702T034337_043916_053E1F_rtc', 'S1A_IW_GRDH_1SDV_20220709T033517_20220709T033542_044018_054118_rtc']",ok
2022-08,2022,8,5,5,5,9.0,9.0,14.8,7.4,10.0,11,5,5.8,0.792,0.283,-18.0,"['S1A_IW_GRDH_1SDV_20220801T153400_20220801T153425_044361_054B45_rtc', 'S1A_IW_GRDH_1SDV_20220806T154148_20220806T154213_044434_054D6D_rtc', 'S1A_IW_GRDH_1SDV_20220813T153401_20220813T153426_044536_0550A8_rtc', 'S1A_IW_GRDH_1SDV_20220818T154148_20220818T154213_044609_055324_rtc', 'S1A_IW_GRDH_1SDV_20220825T153402_20220825T153427_044711_05568D_rtc']",ok
2022-09,2022,9,5,5,5,10.4,10.4,16.6,5.2,11.0,12,7,6.2,0.791,0.309,-18.27,"['S1A_IW_GRDH_1SDV_20220906T153403_20220906T153428_044886_055C7E_rtc', 'S1A_IW_GRDH_1SDV_20220911T154150_20220911T154215_044959_055EEF_rtc', 'S1A_IW_GRDH_1SDV_20220918T153402_20220918T153427_045061_05625A_rtc', 'S1A_IW_GRDH_1SDV_20220923T154149_20220923T154214_045134_0564D3_rtc', 'S1A_IW_GRDH_1SDV_20220930T153403_20220930T153428_045236_056836_rtc']",ok
2022-10,2022,10,6,6,6,10.33,10.33,15.83,5.83,11.5,16,2,5.5,0.838,0.294,-19.42,"['S1A_IW_GRDH_1SDV_20221005T154150_20221005T154215_045309_056AB6_rtc', 'S1A_IW_GRDH_1SDV_20221012T153403_20221012T153428_045411_056E1E_rtc', 'S1A_IW_GRDH_1SDV_20221017T154150_20221017T154215_045484_05704D_rtc', 'S1A_IW_GRDH_1SDV_20221024T153403_20221024T153428_045586_05734A_rtc', 'S1A_IW_GRDH_1SDV_20221029T154150_20221029T154215_045659_0575C5_rtc', 'S1A_IW_GRDH_1SDV_20221001T033521_20221001T033546_045243_05687F_rtc']",ok
