acquisition_date,acquisition_time,satellite,platform,orbit,scene_id,latitude,longitude,vessel_count,vessel_count_in_port,vessel_count_anchorage,vessel_location,port_area_ha,activity_index,coverage,cov_port,noise_floor_db,sea_roughness
2022-01-09,15:34:07,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,35.52755,35.76553,28,17,11,data/raw_s1/S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc/vessels.json,200.4,17.0,0.724,1.0,-13.430000305175781,0.3190000057220459
2022-01-14,15:41:53,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,35.51583,35.76813,26,13,13,data/raw_s1/S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc/vessels.json,200.4,13.0,0.892,1.0,-19.84000015258789,0.28999999165534973
2022-01-21,15:34:06,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220121T153354_20220121T153419_041561_04F166_rtc,35.51716,35.76736,15,15,0,data/raw_s1/S1A_IW_GRDH_1SDV_20220121T153354_20220121T153419_041561_04F166_rtc/vessels.json,200.4,15.0,0.726,1.0,-15.239999771118164,0.2930000126361847
2022-01-02,15:41:54,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,35.51861,35.76443,26,12,14,data/raw_s1/S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc/vessels.json,200.4,12.0,0.892,1.0,-21.700000762939453,0.2879999876022339
2022-01-26,15:41:53,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,35.51574,35.76761,24,11,13,data/raw_s1/S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc/vessels.json,200.4,11.0,0.892,1.0,-16.100000381469727,0.4020000100135803
2022-01-03,03:43:29,Sentinel-1,SENTINEL-1A,descending,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,35.52215,35.76374,29,18,11,data/raw_s1/S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc/vessels.json,200.4,18.0,0.892,1.0,-14.510000228881836,0.3149999976158142
2022-02-07,15:41:52,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220207T154140_20220207T154205_041809_04F9F3_rtc,35.51514,35.76247,26,11,13,data/raw_s1/S1A_IW_GRDH_1SDV_20220207T154140_20220207T154205_041809_04F9F3_rtc/vessels.json,200.4,11.0,0.892,1.0,-19.1200008392334,0.2879999876022339
2022-02-02,15:34:05,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,35.52016,35.76888,28,16,12,data/raw_s1/S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc/vessels.json,200.4,16.0,0.727,1.0,-12.989999771118164,0.31700000166893005
2022-02-19,15:41:52,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,35.51641,35.76774,21,11,10,data/raw_s1/S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc/vessels.json,200.4,11.0,0.892,1.0,-19.739999771118164,0.2919999957084656
2022-02-26,15:34:05,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220226T153353_20220226T153418_042086_050385_rtc,35.52037,35.76276,18,14,4,data/raw_s1/S1A_IW_GRDH_1SDV_20220226T153353_20220226T153418_042086_050385_rtc/vessels.json,200.4,14.0,0.726,1.0,-16.020000457763672,0.3019999861717224
2022-02-14,15:34:05,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220214T153353_20220214T153418_041911_04FD80_rtc,35.5159,35.76663,22,11,11,data/raw_s1/S1A_IW_GRDH_1SDV_20220214T153353_20220214T153418_041911_04FD80_rtc/vessels.json,200.4,11.0,0.726,1.0,-14.270000457763672,0.28700000047683716
2022-03-03,15:41:52,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220303T154139_20220303T154204_042159_050601_rtc,35.53073,35.76772,63,38,25,data/raw_s1/S1A_IW_GRDH_1SDV_20220303T154139_20220303T154204_042159_050601_rtc/vessels.json,200.4,38.0,0.892,1.0,-10.399999618530273,0.36000001430511475
2022-03-10,15:34:05,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220310T153353_20220310T153418_042261_050971_rtc,35.52086,35.76469,25,21,4,data/raw_s1/S1A_IW_GRDH_1SDV_20220310T153353_20220310T153418_042261_050971_rtc/vessels.json,200.4,21.0,0.726,1.0,-15.199999809265137,0.3230000138282776
2022-03-15,15:41:52,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220315T154140_20220315T154205_042334_050BF4_rtc,35.51635,35.76308,26,12,14,data/raw_s1/S1A_IW_GRDH_1SDV_20220315T154140_20220315T154205_042334_050BF4_rtc/vessels.json,200.4,12.0,0.892,1.0,-17.229999542236328,0.32100000977516174
2022-03-27,15:41:53,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220327T154140_20220327T154205_042509_0511E6_rtc,35.51764,35.76503,23,13,10,data/raw_s1/S1A_IW_GRDH_1SDV_20220327T154140_20220327T154205_042509_0511E6_rtc/vessels.json,200.4,13.0,0.892,1.0,-19.559999465942383,0.2840000092983246
2022-03-22,15:34:06,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220322T153353_20220322T153418_042436_050F68_rtc,35.51989,35.76265,25,16,9,data/raw_s1/S1A_IW_GRDH_1SDV_20220322T153353_20220322T153418_042436_050F68_rtc/vessels.json,200.4,16.0,0.725,1.0,-18.790000915527344,0.5210000276565552
2022-04-03,15:34:06,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220403T153353_20220403T153418_042611_051558_rtc,35.5196,35.75513,19,12,7,data/raw_s1/S1A_IW_GRDH_1SDV_20220403T153353_20220403T153418_042611_051558_rtc/vessels.json,200.4,12.0,0.725,1.0,-21.56999969482422,0.33799999952316284
2022-03-04,03:43:27,Sentinel-1,SENTINEL-1A,descending,S1A_IW_GRDH_1SDV_20220304T034314_20220304T034339_042166_050642_rtc,35.52602,35.76769,51,37,14,data/raw_s1/S1A_IW_GRDH_1SDV_20220304T034314_20220304T034339_042166_050642_rtc/vessels.json,200.4,37.0,0.892,1.0,-10.319999694824219,0.382999986410141
2022-04-08,15:41:53,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220408T154140_20220408T154205_042684_0517CC_rtc,35.52434,35.76245,35,17,18,data/raw_s1/S1A_IW_GRDH_1SDV_20220408T154140_20220408T154205_042684_0517CC_rtc/vessels.json,200.4,17.0,0.892,1.0,-13.800000190734863,0.3009999990463257
2022-04-20,15:41:53,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220420T154141_20220420T154206_042859_051DA9_rtc,35.51445,35.764,21,11,10,data/raw_s1/S1A_IW_GRDH_1SDV_20220420T154141_20220420T154206_042859_051DA9_rtc/vessels.json,200.4,11.0,0.892,1.0,-20.18000030517578,0.2840000092983246
2022-04-15,15:34:06,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220415T153354_20220415T153419_042786_051B3E_rtc,35.52082,35.76278,21,13,8,data/raw_s1/S1A_IW_GRDH_1SDV_20220415T153354_20220415T153419_042786_051B3E_rtc/vessels.json,200.4,13.0,0.726,1.0,-18.739999771118164,0.32600000500679016
2022-04-27,15:34:07,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220427T153354_20220427T153419_042961_0520FC_rtc,35.51714,35.76198,14,8,6,data/raw_s1/S1A_IW_GRDH_1SDV_20220427T153354_20220427T153419_042961_0520FC_rtc/vessels.json,200.4,8.0,0.726,1.0,-19.549999237060547,0.3400000035762787
2022-05-02,15:41:54,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220502T154141_20220502T154206_043034_05236C_rtc,35.51904,35.76458,16,9,7,data/raw_s1/S1A_IW_GRDH_1SDV_20220502T154141_20220502T154206_043034_05236C_rtc/vessels.json,200.4,9.0,0.892,1.0,-20.579999923706055,0.26600000262260437
2022-05-14,15:41:55,Sentinel-1,SENTINEL-1A,ascending,S1A_IW_GRDH_1SDV_20220514T154142_20220514T154207_043209_052912_rtc,35.51768,35.76591,18,11,7,data/raw_s1/S1A_IW_GRDH_1SDV_20220514T154142_20220514T154207_043209_052912_rtc/vessels.json,200.4,11.0,0.892,1.0,-20.889999389648438,0.3529999852180481
