track_id,n_obs,first_scene,last_scene,zones,n_distinct_vessels
0,3,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[1],3
1,2,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,[1],2
2,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[2],1
3,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
4,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
5,7,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,[1],7
6,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
7,5,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,[1],5
8,7,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,"[1, 2]",7
9,3,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,[2],3
10,36,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220415T153354_20220415T153419_042786_051B3E_rtc,[2],36
11,12,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220121T153354_20220121T153419_041561_04F166_rtc,[2],12
12,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[2],1
13,106,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220521T153356_20220521T153421_043311_052C0C_rtc,[2],106
14,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[2],1
15,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
16,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
17,4,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,[1],4
18,78,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220502T154141_20220502T154206_043034_05236C_rtc,[2],78
19,66,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220427T153354_20220427T153419_042961_0520FC_rtc,[2],66
20,4,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,[2],4
21,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[2],1
22,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
23,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
24,1,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,[1],1
25,10,S1A_IW_GRDH_1SDV_20220102T154141_20220102T154206_041284_04E832_rtc,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,[1],10
26,2,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[1],2
27,1,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,[1],1
28,1,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,[2],1
29,1,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,[2],1
30,10,S1A_IW_GRDH_1SDV_20220103T034316_20220103T034341_041291_04E877_rtc,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,[2],10
31,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[1],1
32,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[1],1
33,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[1],1
34,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[2],1
35,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[2],1
36,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[1],1
37,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[2],1
38,1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,[2],1
39,6,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,[1],6
40,7,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,[1],7
41,1,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,[1],1
42,1,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,[1],1
43,7,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,[1],7
44,3,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220207T154140_20220207T154205_041809_04F9F3_rtc,"[1, 2]",3
45,1,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,[1],1
46,11,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220303T154139_20220303T154204_042159_050601_rtc,[1],11
47,1,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,[2],1
48,8,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,[1],8
49,10,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220219T154140_20220219T154205_041984_050008_rtc,[1],10
50,1,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,[1],1
51,2,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,[1],2
52,3,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,"[1, 2]",3
53,1,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,S1A_IW_GRDH_1SDV_20220126T154140_20220126T154205_041634_04F3F4_rtc,[1],1
54,1,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,[2],1
55,1,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,[2],1
56,1,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,[2],1
57,1,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,[2],1
58,4,S1A_IW_GRDH_1SDV_20220202T153353_20220202T153418_041736_04F764_rtc,S1A_IW_GRDH_1SDV_20220214T153353_20220214T153418_041911_04FD80_rtc,[2],4
59,1,S1A_IW_GRDH_1SDV_20220207T154140_20220207T154205_041809_04F9F3_rtc,S1A_IW_GRDH_1SDV_20220207T154140_20220207T154205_041809_04F9F3_rtc,[0],1
