ym,type,n,n_ais,n_est
2022-01,بضائع عامة,61,0,61
2022-01,حاويات/ناقلة كبيرة,15,0,15
2022-01,صبّ جاف/بضائع,53,0,53
2022-01,صغير/صيد,18,0,18
2022-01,كبيرة جدًا (حاويات/ناقلة),1,0,1
2022-02,بضائع عامة,55,0,55
2022-02,حاويات/ناقلة كبيرة,9,0,9
2022-02,صبّ جاف/بضائع,33,0,33
2022-02,صغير/صيد,14,0,14
2022-02,كبيرة جدًا (حاويات/ناقلة),4,0,4
2022-03,بضائع عامة,111,0,111
2022-03,حاويات/ناقلة كبيرة,10,0,10
2022-03,صبّ جاف/بضائع,46,0,46
2022-03,صغير/صيد,45,0,45
2022-03,كبيرة جدًا (حاويات/ناقلة),1,0,1
2022-04,بضائع عامة,60,0,60
2022-04,حاويات/ناقلة كبيرة,8,0,8
2022-04,صبّ جاف/بضائع,29,0,29
2022-04,صغير/صيد,13,0,13
2022-05,بضائع عامة,43,0,43
2022-05,حاويات/ناقلة كبيرة,5,0,5
2022-05,صبّ جاف/بضائع,34,0,34
2022-05,صغير/صيد,10,0,10
2022-06,بضائع عامة,25,0,25
2022-06,حاويات/ناقلة كبيرة,7,0,7
2022-06,صبّ جاف/بضائع,22,0,22
2022-06,صغير/صيد,15,0,15
2022-06,كبيرة جدًا (حاويات/ناقلة),3,0,3
2022-07,بضائع عامة,66,0,66
2022-07,حاويات/ناقلة كبيرة,14,0,14
2022-07,صبّ جاف/بضائع,31,0,31
2022-07,صغير/صيد,17,0,17
2022-07,كبيرة جدًا (حاويات/ناقلة),4,0,4
2022-08,بضائع عامة,36,0,36
2022-08,حاويات/ناقلة كبيرة,4,0,4
2022-08,صبّ جاف/بضائع,29,0,29
2022-08,صغير/صيد,5,0,5
2022-09,بضائع عامة,36,0,36
2022-09,حاويات/ناقلة كبيرة,7,0,7
2022-09,صبّ جاف/بضائع,30,0,30
2022-09,صغير/صيد,7,0,7
2022-09,كبيرة جدًا (حاويات/ناقلة),3,0,3
2022-10,بضائع عامة,45,0,45
2022-10,حاويات/ناقلة كبيرة,12,0,12
2022-10,صبّ جاف/بضائع,33,0,33
2022-10,صغير/صيد,4,0,4
2022-10,كبيرة جدًا (حاويات/ناقلة),1,0,1
2022-11,بضائع عامة,64,0,64
2022-11,حاويات/ناقلة كبيرة,5,0,5
2022-11,صبّ جاف/بضائع,36,0,36
2022-11,صغير/صيد,14,0,14
2022-11,كبيرة جدًا (حاويات/ناقلة),2,0,2
2022-12,بضائع عامة,54,0,54
2022-12,حاويات/ناقلة كبيرة,10,0,10
2022-12,صبّ جاف/بضائع,43,0,43
2022-12,صغير/صيد,14,0,14
2022-12,كبيرة جدًا (حاويات/ناقلة),1,0,1
2023-01,بضائع عامة,70,0,70
2023-01,حاويات/ناقلة كبيرة,6,0,6
2023-01,صبّ جاف/بضائع,34,0,34
2023-01,صغير/صيد,13,0,13
2023-01,كبيرة جدًا (حاويات/ناقلة),1,0,1
2023-02,بضائع عامة,46,0,46
2023-02,حاويات/ناقلة كبيرة,8,0,8
2023-02,صبّ جاف/بضائع,33,0,33
2023-02,صغير/صيد,13,0,13
2023-03,بضائع عامة,74,0,74
2023-03,حاويات/ناقلة كبيرة,12,0,12
2023-03,صبّ جاف/بضائع,51,0,51
2023-03,صغير/صيد,16,0,16
2023-04,بضائع عامة,49,0,49
2023-04,حاويات/ناقلة كبيرة,11,0,11
2023-04,صبّ جاف/بضائع,40,0,40
2023-04,صغير/صيد,12,0,12
2023-05,بضائع عامة,26,0,26
2023-05,حاويات/ناقلة كبيرة,11,0,11
2023-05,صبّ جاف/بضائع,22,0,22
2023-05,صغير/صيد,3,0,3
2023-05,كبيرة جدًا (حاويات/ناقلة),4,0,4
2023-06,بضائع عامة,51,0,51
2023-06,حاويات/ناقلة كبيرة,8,0,8
2023-06,صبّ جاف/بضائع,35,0,35
2023-06,صغير/صيد,7,0,7
2023-06,كبيرة جدًا (حاويات/ناقلة),5,0,5
2023-07,بضائع عامة,27,0,27
2023-07,حاويات/ناقلة كبيرة,7,0,7
2023-07,صبّ جاف/بضائع,23,0,23
2023-07,صغير/صيد,5,0,5
2023-07,كبيرة جدًا (حاويات/ناقلة),5,0,5
2023-08,بضائع عامة,33,0,33
2023-08,حاويات/ناقلة كبيرة,17,0,17
2023-08,صبّ جاف/بضائع,39,0,39
2023-08,صغير/صيد,7,0,7
2023-08,كبيرة جدًا (حاويات/ناقلة),6,0,6
2023-09,بضائع عامة,40,0,40
2023-09,حاويات/ناقلة كبيرة,10,0,10
2023-09,صبّ جاف/بضائع,33,0,33
2023-09,صغير/صيد,6,0,6
2023-09,كبيرة جدًا (حاويات/ناقلة),2,0,2
2023-10,بضائع عامة,46,0,46
2023-10,حاويات/ناقلة كبيرة,11,0,11
2023-10,صبّ جاف/بضائع,27,0,27
2023-10,صغير/صيد,7,0,7
2023-10,كبيرة جدًا (حاويات/ناقلة),2,0,2
2023-11,بضائع عامة,27,0,27
2023-11,حاويات/ناقلة كبيرة,7,0,7
2023-11,صبّ جاف/بضائع,22,0,22
2023-11,صغير/صيد,7,0,7
2023-11,كبيرة جدًا (حاويات/ناقلة),2,0,2
2023-12,بضائع عامة,42,0,42
2023-12,حاويات/ناقلة كبيرة,6,0,6
2023-12,صبّ جاف/بضائع,23,0,23
2023-12,صغير/صيد,5,0,5
2024-01,بضائع عامة,61,0,61
2024-01,حاويات/ناقلة كبيرة,6,0,6
2024-01,صبّ جاف/بضائع,29,0,29
2024-01,صغير/صيد,15,0,15
2024-02,بضائع عامة,48,0,48
2024-02,حاويات/ناقلة كبيرة,5,0,5
2024-02,صبّ جاف/بضائع,21,0,21
2024-02,صغير/صيد,5,0,5
2024-03,بضائع عامة,39,0,39
