acquisition_date,acquisition_time,satellite,scene_id,vessel_id,latitude,longitude,length_m,width_m,peak_db,zone,dist_port_m,demerged,merged,quay_edge,cluster_like
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_023_01,35.547261,35.75463,179.0,96.0,10.14,anchorage,1425.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_023_02,35.552157,35.757287,191.0,100.0,4.8,anchorage,1462.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_026_01,35.552464,35.751333,152.0,82.0,4.5,anchorage,1909.0,False,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_033_01,35.543598,35.768099,189.0,164.0,19.01,in_port,236.0,True,False,False,True
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_033_02,35.549157,35.761939,257.0,142.0,15.5,anchorage,972.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_033_03,35.542561,35.767233,89.0,85.0,6.92,in_port,212.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_033_04,35.549288,35.763429,129.0,96.0,5.83,anchorage,896.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_033_05,35.541857,35.765909,160.0,150.0,5.1,in_port,299.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_048_01,35.542224,35.77642,92.0,92.0,4.61,in_port,97.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_076_01,35.52794,35.758403,150.0,140.0,15.74,anchorage,642.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_076_02,35.528025,35.759671,110.0,100.0,8.65,anchorage,528.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_079_01,35.52652,35.767822,85.0,64.0,11.81,in_port,15.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_079_02,35.526026,35.767168,99.0,57.0,10.49,in_port,15.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_080_01,35.525954,35.759501,221.0,108.0,22.14,anchorage,560.0,False,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_082_01,35.521324,35.768371,110.0,70.0,14.47,in_port,17.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_082_02,35.522195,35.768586,156.0,75.0,9.79,in_port,27.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_082_03,35.524251,35.769408,99.0,70.0,9.29,in_port,25.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_082_04,35.523462,35.769116,117.0,73.0,8.33,in_port,24.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_089_01,35.519208,35.768234,80.0,40.0,5.08,in_port,14.0,False,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_090_01,35.51849,35.762631,255.0,101.0,7.7,anchorage,464.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_090_02,35.516831,35.762772,131.0,78.0,5.13,in_port,379.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_092_01,35.517422,35.767314,253.0,85.0,12.86,in_port,33.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_092_02,35.515745,35.767346,153.0,57.0,4.84,in_port,18.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_096_01,35.511921,35.763992,125.0,67.0,12.05,in_port,24.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_096_02,35.512657,35.764602,200.0,68.0,8.17,in_port,20.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_099_01,35.512527,35.769614,80.0,40.0,6.36,in_port,14.0,True,False,False,False
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_116_01,35.500502,35.776284,239.0,173.0,10.91,anchorage,558.0,True,False,False,True
2022-01-09,15:34:07,Sentinel-1,S1A_IW_GRDH_1SDV_20220109T153354_20220109T153419_041386_04EBAB_rtc,S1A_IW_GRDH_1SDV_20220109T153354_202_116_02,35.499773,35.777605,209.0,132.0,4.55,anchorage,693.0,True,False,False,False
2022-01-14,15:41:53,Sentinel-1,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,S1A_IW_GRDH_1SDV_20220114T154141_202_013_01,35.527622,35.759182,220.0,170.0,19.26,anchorage,571.0,True,False,False,True
2022-01-14,15:41:53,Sentinel-1,S1A_IW_GRDH_1SDV_20220114T154141_20220114T154206_041459_04EDF9_rtc,S1A_IW_GRDH_1SDV_20220114T154141_202_013_02,35.527982,35.760253,177.0,134.0,12.73,anchorage,475.0,True,False,False,False
