ym,n_obs,mean_ships_port,mean_anchorage,max_ships_port,mean_coverage,year,month,mean_ships_port_adj
2022-01,6,34.833333333333336,10.166666666666666,42.0,0.9973333333333333,2022,1,34.833333333333336
2022-02,5,33.4,10.0,41.0,0.9952,2022,2,33.4
2022-03,6,41.166666666666664,36.833333333333336,52.0,0.9973333333333333,2022,3,41.166666666666664
2022-04,5,26.0,10.4,31.0,0.9952,2022,4,26.0
2022-05,5,20.0,10.4,26.0,0.9952,2022,5,20.0
2022-06,5,22.6,10.4,27.0,0.9952,2022,6,22.6
2022-07,5,24.8,9.8,32.0,0.9968,2022,7,24.8
2022-08,5,28.0,11.4,34.0,0.9952,2022,8,28.0
2022-09,5,28.8,11.8,33.0,0.9952,2022,9,28.8
2022-10,6,20.0,12.666666666666666,28.0,0.996,2022,10,20.0
2022-11,5,31.0,6.2,43.0,0.9952,2022,11,31.0
2022-12,5,35.8,23.6,51.0,0.9968,2022,12,35.8
2023-01,5,33.8,15.6,43.0,0.9952,2023,1,33.8
2023-02,5,28.8,5.4,32.0,0.9968,2023,2,28.8
2023-03,5,25.2,9.6,34.0,0.9952,2023,3,25.2
2023-04,5,23.6,8.8,28.0,0.9968,2023,4,23.6
2023-05,5,24.8,9.2,29.0,0.9952,2023,5,24.8
2023-06,5,23.8,14.6,33.0,0.9968,2023,6,23.8
2023-07,5,26.0,18.0,29.0,0.9952,2023,7,26.0
2023-08,5,17.4,11.4,19.0,0.9968,2023,8,17.4
2023-09,5,21.8,6.6,25.0,0.9952,2023,9,21.8
2023-10,5,24.8,7.4,28.0,0.9952,2023,10,24.8
2023-11,6,25.833333333333332,5.833333333333333,29.0,0.996,2023,11,25.833333333333332
2023-12,5,42.6,41.0,57.0,0.9952,2023,12,42.6
2024-01,5,37.8,10.6,42.0,0.9952,2024,1,37.8
2024-02,5,44.0,21.2,60.0,0.9936,2024,2,44.0
2024-03,5,30.2,9.8,41.0,0.9968,2024,3,30.2
2024-04,5,25.2,15.6,38.0,0.9952,2024,4,25.2
2024-05,5,41.8,25.2,49.0,0.9968,2024,5,41.8
2024-06,6,33.5,23.0,39.0,0.9946666666666667,2024,6,33.5
2024-07,5,32.8,28.8,44.0,0.9968,2024,7,32.8
2024-08,5,36.8,23.0,38.0,0.9952,2024,8,36.8
2024-09,5,17.0,22.0,37.0,0.9952,2024,9,17.0
2024-10,6,34.333333333333336,13.666666666666666,42.0,0.996,2024,10,34.333333333333336
2024-11,6,31.833333333333332,19.333333333333332,55.0,0.9946666666666667,2024,11,31.833333333333332
2024-12,5,32.0,22.4,41.0,0.9952,2024,12,32.0
2025-01,5,37.2,37.0,48.0,0.9952,2025,1,37.2
2025-02,5,37.6,31.4,48.0,0.9968,2025,2,37.6
2025-03,4,32.75,23.5,48.0,0.994,2025,3,32.75
2025-04,6,44.333333333333336,44.666666666666664,73.0,0.9946666666666667,2025,4,44.333333333333336
2025-05,5,35.2,38.6,46.0,0.9952,2025,5,35.2
2025-06,5,29.8,31.6,44.0,0.9952,2025,6,29.8
2025-07,4,38.25,29.75,41.0,0.994,2025,7,38.25
2025-08,5,33.6,39.2,35.0,0.9952,2025,8,33.6
2025-09,4,33.5,32.0,38.0,0.996,2025,9,33.5
2025-10,5,36.2,21.4,43.0,0.9952,2025,10,36.2
2025-11,5,38.6,31.2,61.0,0.9952,2025,11,38.6
2025-12,5,46.4,44.6,74.0,0.9936,2025,12,46.4
2026-01,5,42.8,36.0,52.0,0.9952,2026,1,42.8
2026-02,3,49.333333333333336,42.0,55.0,0.9946666666666667,2026,2,49.333333333333336
2026-03,5,42.0,38.4,56.0,0.9952,2026,3,42.0
2026-04,4,54.5,71.0,65.0,0.994,2026,4,54.5
2026-05,5,34.8,18.2,40.0,0.9952,2026,5,34.8
2026-06,3,29.0,38.666666666666664,31.0,0.9946666666666667,2026,6,29.0
2026-07,5,36.0,40.8,40.0,0.9952,2026,7,36.0
2026-08,4,25.75,48.75,34.0,0.996,2026,8,25.75
